mainParentCategoryId,shopId,shopType,shopName,branchName,phoneNo,phoneNo2,cityId,shopGroupId,altName,businessHours,score,avgPrice,score4,defaultReviewCount,shopPower,code,dishTagStrList,tag
136,76759096,25,万达影城,丰台店,83890606-820,83890606-821,2,76759096,,,"视效:9.3,环境:9.2,服务:9.1",54,0,429,50,200,,"环境优雅:98,座位舒服:25,音响效果好:24,高大上:13,干净卫生:11,人气旺:11,停车免费:5,画面不错:5,屏幕爽:9,价格高:14"
110,93499468,10,九万士多港式海鲜粥底火锅,,15011507710,,2,79617114,,"周一至周日
11:30-22:00","口味:9.4,环境:9.2,服务:9.4",179,0,152,50,200,,"服务热情:54,味道赞:33,菜品健康:27,海鲜棒:9,体验很棒:6,干净卫生:4,回头客:3,性价比高:3,螃蟹:42,咸柠七:9"
1785,99255592,10,范家小馆·烤鸭店-颐和春晓,丰台万达广场店,83298421,,2,16966288,,"周一至周日
11:00-21:30","口味:9.1,环境:9.2,服务:9.2",82,0,708,50,200,,"上菜快:29,回头客:19,停车方便:12,干净卫生:6,朋友聚餐:16,家庭聚餐:8,请客:7,闺蜜聚会:6,文艺清新:4,现做现卖:3"
141,107968642,30,蘭古法泰式按摩  ORCHID MASSAGE SPA,万达店,18501019938,,2,27342573,,"周一至周日
12:00-22:00","技师:9.4,环境:9.3,服务:9.4",414,0,34,50,200,,"技师专业:17,放松舒服:12,环境优雅:9,无推销:4,干净卫生:3,按摩:18,足浴:18,推拿:18,spa:16,精油:12"
26484,74697761,10,凤临阁,丰台万达广场店,83683506,,2,74697761,,"周六,周日
11:00-21:30

周一至周五
11:00-14:30
17:00-21:30

非营业时段
2018-02-15至2018-02-15 15:00-24:00","口味:8.8,环境:9.0,服务:9.1",74,0,1144,45,200,,"菜品健康:54,回头客:39,干净卫生:29,上菜快:19,停车免费:5,开放厨房:10,闺蜜聚会:7,朋友聚餐:6,家庭聚餐:5,现做现卖:5"
311,75171523,10,小吊梨汤,万达店,63721728,18811570387,2,2355826,,"周一至周日
10:00-22:00","口味:8.8,环境:9.0,服务:9.0",84,0,1725,45,200,,"回头客:75,上菜快:67,停车方便:4,弄堂小店:24,朋友聚餐:15,请客:10,闺蜜聚会:7,工作餐:6,家庭聚餐:5,文艺清新:4"
26482,74952393,10,杨记兴·臭鳜鱼,万达广场店,83629278,,2,67713765,,"周一至周日
11:00-21:00","口味:9.0,环境:9.2,服务:9.0",122,0,811,50,200,,"肉类好:35,上菜快:29,海鲜棒:23,回头客:18,停车免费:3,朋友聚餐:7,公司聚餐:4,家庭聚餐:3,请客:3,闺蜜聚会:3"
34043,5908274,95,宠我吧狂奔犬舍直营店,,13718060555,,2,5908274,宝宝犬舍,"周一至周日
09:00-22:00",,5311,0,102,50,200,,"服务热情:37,价格实惠:4,环境优雅:4,狗美容:8,狗剃毛:7,猫剃毛:7,接送服务:5"
224,69890815,10,将太无二,丰台万达广场店,63728752,83293352,2,516061,,"周一至周日
10:00-22:00

非营业时段
2018-02-16至2018-02-16 19:00-23:30
2018-02-15至2018-02-15 17:00-23:30","口味:8.9,环境:9.0,服务:9.0",138,0,807,45,200,,"菜品健康:45,回头客:43,上菜快:23,停车免费:3,闺蜜聚会:8,请客:5,深夜食堂:3,朋友聚餐:3,现做现卖:3,公司聚餐:3"
117,97438181,10,甜甜匠蛋糕订制Sweet Maker,丰台万达店,13146848845,18518648645,2,92601057,,"周一至周日
09:00-20:30","口味:9.0,环境:9.0,服务:9.0",199,0,106,50,200,,"味道赞:30,点心好:27,服务热情:24,价格实惠:13,性价比高:7,体验很棒:6,午餐:3"
