mainParentCategoryId,shopId,shopType,shopName,branchName,phoneNo,phoneNo2,cityId,shopGroupId,altName,businessHours,score,avgPrice,score4,defaultReviewCount,shopPower,code,dishTagStrList,tag
136,21319178,25,万达国际影城,通州万达店,4006090090,,2,2034184,,,"视效:9.3,环境:9.2,服务:9.2",76,0,1425,50,200,,"高大上:71,座位舒服:54,画面不错:10,干净卫生:7,停车方便:4,交通便利:4,眼镜不错:3,厕所干净:3,爆米花赞:3,屏幕爽:22"
224,102458073,10,小草日式料理 真的很好吃,,17319033819,,2,102458073,,"周一至周日
11:00-14:00
17:00-23:00","口味:9.2,环境:9.0,服务:9.1",96,0,465,50,200,,"海鲜棒:23,上菜快:19,有萌宠:12,回头客:9,干净卫生:8,深夜食堂:7,现做现卖:6,闺蜜聚会:5,文艺清新:3,朋友聚餐:3"
33955,97809746,50,Priscilla皮肤管理中心,,80888782,13671070187,2,97809746,,"周一至周日
10:30-22:00","效果:9.4,环境:9.5,服务:9.5",433,0,201,50,200,,"服务热情:49,环境优雅:35,体验很棒:23,效果赞:23,技师专业:22,无推销:16,无办卡:9,干净卫生:8,价格实惠:4,高大上:3"
2898,97536677,50,眉眼公馆半永久纹绣纹眉纹眼线,大悦城店,18310391378,85518162,2,97536677,,"周一至周日
10:00-21:00","效果:9.5,环境:9.5,服务:9.5",2361,0,280,50,200,,"效果赞:62,技师专业:59,服务热情:58,环境优雅:49,干净卫生:29,高大上:12,价格实惠:10,无推销:6,停车方便:4,交通便利:3"
208,102762260,10,木辛水水冰煮羊,通州万达店,17310721553,,2,97597668,,"周一至周日
10:00-23:30","口味:9.2,环境:9.1,服务:9.1",100,0,199,50,200,,"服务热情:83,味道赞:46,菜品健康:10,价格实惠:7,体验很棒:7,干净卫生:5,回头客:3,饮品赞:3,羊肉:119,拔草:9"
110,69737364,10,四季汤厨椰子鸡 猪肚鸡,,53677731,,2,69737364,,"周一至周日
11:00-23:00

非营业时段
2018-02-15至2018-02-21 全天","口味:9.0,环境:9.1,服务:9.1",115,0,1822,50,200,,"菜品健康:44,回头客:33,干净卫生:7,冬天吃过瘾:3,有萌宠:3,朋友聚餐:10,文艺清新:4,闺蜜聚会:4,现做现卖:3,上菜慢:8"
157,65958447,50,吉米造型,,57288188,,2,65958447,,"周一至周日
10:30-22:00","效果:9.3,环境:9.3,服务:9.3",162,0,1825,50,200,,"服务热情:452,剪发效果好:254,环境优雅:192,技师专业:149,效果赞:134,无推销:105,染发效果好:96,体验很棒:60,干净卫生:8,高大上:5"
33955,97993427,50,萱妍堂皮肤管理中心,通州万达店,57108427,18515103325,2,97993427,,"周一至周日
10:00-21:00","效果:9.4,环境:9.5,服务:9.4",104,0,115,50,200,,"服务热情:50,技师专业:40,环境优雅:30,体验很棒:15,干净卫生:13,性价比高:11,价格实惠:10,效果赞:10,高大上:7,无推销:5"
254,21084632,10,西堤厚牛排,通州万达店,60517566,60510068,2,1945879,TASTY,"周一至周日
11:30-14:00
17:30-21:00

非营业时段
2018-01-26至2018-01-26 00:00-04:00","口味:9.0,环境:9.1,服务:9.1",161,0,2331,50,200,,"牛肉赞:292,回头客:102,海鲜棒:19,高大上:14,干净卫生:6,闺蜜聚会:18,朋友聚餐:16,家庭聚餐:7,请客:4,上菜慢:35"
114,24724370,10,姜虎东白丁烤肉,,58458268,,2,24724370,,"周一至周日
11:30-22:00","口味:8.8,环境:8.5,服务:8.7",130,0,2832,45,200,,"牛肉赞:101,回头客:84,主食赞:33,海鲜棒:11,干净卫生:9,上菜快:5,朋友聚餐:30,闺蜜聚会:20,请客:6,分量少:80"
128,83460215,20,BUTF美惠眼镜,通州万达店,18612307219,18612191815,2,83460215,,"周一至周日
10:00-22:00","产品:9.4,环境:9.4,服务:9.4",346,0,164,50,200,,"服务热情:97,款式丰富:16,价格实惠:15,性价比高:15,环境优雅:12,体验很棒:8,质量好:5,干净卫生:3,店小:3"
33924,92246808,10,村上一屋,通州万达店,18310935318,,2,67855255,,"周一至周日
10:00-00:00","口味:9.0,环境:9.0,服务:9.0",76,0,478,50,200,,"主食赞:21,海鲜棒:12,干净卫生:11,回头客:8,朋友聚餐:8,现做现卖:5,深夜食堂:4,闺蜜聚会:4,文艺清新:3,上菜慢:15"
210,92021151,10,永顺炸鸡店,通州万达广场店,15711488421,,2,92021151,,"周一至周日
10:00-22:00","口味:8.8,环境:8.3,服务:8.3",31,0,357,45,200,,"味道赞:62,菜品不错:31,肉类好:30,回头客:14,服务热情:11,干净卫生:3,点心好:3,炸鸡:221,拔草:13,价格高:7"
160,97598533,50,阿噶西美甲美睫旗舰店,通州万达店,56752770,,2,44308387,,"周一至周日
10:00-21:00","效果:9.4,环境:9.4,服务:9.4",135,0,310,50,200,,"服务热情:87,环境优雅:50,效果赞:41,技师专业:26,干净卫生:14,价格实惠:13,无推销:12,高大上:3,美睫:138,手部美甲:63"
